example_id,task_type,question,reference_answer,ft_model_id,rag_model_id,ft_prediction,ft_error,ft_primary_metric,ft_exact_match,ft_token_f1,ft_rougeL,ft_accuracy,ft_list_f1,rag_prediction,rag_error,rag_primary_metric,rag_exact_match,rag_token_f1,rag_rougeL,rag_accuracy,rag_list_f1,retrieved_chunk_ids,retrieved_files,retrieved_top1_text
1,QA,¿Cuáles fueron los resultados del Estudio Nacional del Agua del año 2000?,"Los resultados de éste estudio muestran que para condiciones hidrológicas
medias, cerca del 50% de la población de las áreas urbanas municipales están expuestas a sufrir
problemas de desabastecimiento de agua; para condiciones de un año seco, esta cifra puede llegar
hasta el 80%",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El estudio concluyó que, en el año 2000, el país contaba con 1658 sistemas de abastecimiento, de los cuales el 74% se encontraba operativo. De los 1392 sistemas operativos, el 91% estaba ubicado en las zonas urbanas. Los resultados también mostraron que el país cuenta con 300 sistemas de alcantarillado, de los cuales el 70% se encuentra operativo. En cuanto a los niveles de servicio, el 78% de los sistemas de abastecimiento presenta una calidad de agua que cumple con lo estable",,0.22222222222222224,0.0,0.22222222222222224,0.16417910447761194,,,No se proporciona información sobre el Estudio Nacional del Agua del año 2000 en el contexto dado.,,0.13114754098360656,0.0,0.13114754098360656,0.1791044776119403,,,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0054 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0062 | 4.Plan de Reducción Perdidas.pdf::chunk_0028 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0041,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | 4.Plan de Reducción Perdidas.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf,"Información de calidad de agua producto de la vigilancia ejercida por las autoridades sanitarias De acuerdo con el Decreto 1575 del 2007 y la Resolución 2115 de 2007 expedidos por el Ministerio de Salud y Protección Social - Minsalud, el Índice de Riesgo de la Calidad del Agua para Consumo Humano – IRCA, es un indicador a través del cual se relaciona la calidad del agua y el nivel de riesgo al que se encuentra expuesta determinada población por el no cumplimiento de las características químicas y microbiológicas. En esta sección se tienen en cuenta los resultados proceso de la depuración que se realizó en conjunto con el MVCT, a partir de la información de la calidad del agua procesada por las autoridades sanitarias distritales, municipales o departamentales reportada en el SIVICAP para la"
2,QA,¿Por qué no fueron reportadas las pérdidas aparentes?,"por la pobre gestión relacionada con los medidores de agua, ninguna de las
empresas cuenta con información acerca del error de medición de estos dispositivos",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"Las pérdidas aparentes, también conocidas como ""pérdidas comerciales"" o ""pérdidas no técnicas"", son aquellas que ocurren debido a errores en la medición, fraude, rotura de medidores, etc. Estas pérdidas no se pueden ver directamente en los datos de consumo, por lo tanto, no son reportadas. Sin embargo, estas pérdidas afectan el balance hídrico de una empresa de agua potable y deben ser controladas para garantizar la eficiencia operativa y financiera de la empresa. Para estimar las pérdidas aparentes, se utilizan modelos estadísticos y técnicos que",,0.14414414414414414,0.0,0.14414414414414414,0.112,,,No se proporciona información en el contexto sobre por qué no fueron reportadas las pérdidas aparentes.,,0.14634146341463414,0.0,0.14634146341463414,0.08695652173913043,,,JaimeAndrés_MoncayoParra_2022.pdf::chunk_0055 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0021 | Resumen-Estudio Pérdidas y Demanda AA-GP pdf.pdf::chunk_0014 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0008,JaimeAndrés_MoncayoParra_2022.pdf | Reduccion Pérdidas Bucaramanga.pdf | Resumen-Estudio Pérdidas y Demanda AA-GP pdf.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf,"porcentaje de pérdidas se redujo en la última facturación de un 67% a 41% en la red 4 y de un 46% a 42% en la red 3. En efecto se puede mencionar que el modelo hidráulico practicado permitió simular en condiciones ideales la operación de la red de distribución, al comparar los resultados del modelo con los registros tomados en campo fue posible verificar la existencia de anomalías en el comportamiento de p resiones de la red, por tanto, su fiabilidad es del 80% para detectar fugas de agua. 32 INFORME FINAL Código FDE 089 Versión 03 Fecha 2015-01- 22 7. Tecnología iDroloc Por otra parte, en Chile es uno de los países en América Latina que está haciendo uso de la tecnología “iDroloc para la detección de fugas de agua” desde el año 2018, esta tecnología es llevada a cabo por la empresa SUEZ e"
3,QA,¿Que es el informe sectorial de los servicios publicos domiciliarios de acueducto y alcantarillado?,Es un documento que consolida los esfuerzos institucionales para analizar y documentar las dinámicas y fenómenos asociados a la prestación de los servicios públicos de acueducto y alcantarillado,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El **Informe Sectorial de los Servicios Públicos Domiciliarios de Acueducto y Alcantarillado** es un documento que evalúa y reporta la situación, gestión y prestación de los servicios de agua potable (acueducto) y saneamiento básico (alcantarillado) en un país o región. Este informe se elabora por entidades reguladoras como la Superintendencia de Servicios Públicos Domiciliarios (SSPD) en Colombia y contiene indicadores clave sobre el desempeño de las empresas prestadoras, como la cobertura, calidad del servicio, eficiencia operativa y sostenibilidad financ",,0.33644859813084116,0.0,0.33644859813084116,0.24793388429752064,,,"El informe sectorial de los servicios públicos domiciliarios de acueducto y alcantarillado es un documento que consolida los esfuerzos institucionales para analizar y documentar las dinámicas y fenómenos asociados a la prestación de los servicios públicos de acueducto y alcantarillado, basándose en indicadores regulatorios, operativos y de gestión, así como en datos reportados por los prestadores de servicios y en información exógena verificada, para mostrar la situación actual de estos servicios en la vigencia 2023.",,0.5436893203883496,0.0,0.5436893203883496,0.547008547008547,,,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0013 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0002 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0111 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0075,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf,"alcantarillado. Lo anterior, de conformidad con las condiciones de uso y confidencialidad puedes ser consultadas establecidas según la Política editorial y condiciones de uso Política editorial y condiciones de uso. Informe Sectorial de los Servicios Públicos de Acueducto y Alcantarillado Vigencia 2023 12 2. INTRODUCCIÓN El informe sectorial de los servicios públicos domiciliarios de acueducto y alcantarillado, consolida los esfuerzos institucionales para analizar y documentar las dinámicas y fenómenos asociados a la prestación de los servicios públicos de acueducto y alcantarillado. El presente documento aborda el desempeño descrito por los indicadores regulatorios, operativos y de gestión en la vigencia 2023. Así mismo consolida los resultados de la validación, estructura de datos, const"
4,QA,¿Cual es el tipo de prestador mas comun para el servicio de acueducto?,"Las organizaciones autorizadas, con un 67.2% de participacion",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"Para determinar el tipo de prestador más común para el servicio de acueducto, se analizaron los datos del catastro de servicios públicos domiciliarios. Los resultados indican que las empresas privadas son las más comunes en este servicio. Sin embargo, también se encontraron otras categorías como “Otros”, “Comunidad” e “Institución pública descentralizada”. Es importante destacar que la información puede variar según la región geográfica y el país en cuestión. Por lo tanto, se recomienda consultar fuentes específicas para obtener datos actualizados y precisos.",,0.04347826086956521,0.0,0.04347826086956521,0.018867924528301883,,,"El tipo de prestador más común para el servicio de acueducto es las organizaciones autorizadas, con un porcentaje del 67.2%.",,0.48275862068965514,0.0,0.48275862068965514,0.43750000000000006,,,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0017 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0072 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0015 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0016,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf,"los Servicios Públicos de Acueducto y Alcantarillado Vigencia 2023 15 En lo que refiere a la clase de las empresas prestadoras estas pueden ser: oficiales, mixta, persona jurídica o privada. Para la vigencia analizada se identificó que el mayor porcentaje de prestación de los servicios de acueducto y alcantarillado corresponde a prestadores de clase privada 47.7%. Por otro lado, el mínimo porcentaje de prestadores corresponde a clase persona jurídica 0.11%. Este porcentaje corresponde a una categoría de prestadores que realizaron su inscripción al RUPS previo a la entrada en vigencia de la resolución SSPD 20181000120515 en el año 2018; tras la entrada en vigencia de esta resolución, las categorías correspondientes a clase son: privada, mixta y oficial y pueden verse en la siguiente Figura "
5,QA,¿Qué es el plan de reducción de Pérdidas?,"es el conjunto de actividades programadas, por parte
de las personas prestadoras del servicio público domiciliario de acueducto, para la
reducción de las pérdidas técnicas y comerciales que tienen por objeto alcanzar el
estándar de eficiencia”",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El Plan de Reducción de Pérdidas (PRP) es una herramienta estratégica que permite a las empresas de agua potable y alcantarillado identificar, priorizar y coordinar las acciones necesarias para reducir las pérdidas de agua. Este plan debe ser resultado de la aplicación del marco regulatorio establecido en la Resolución 688 de 2014 y contemplar las metas de reducción de pérdidas de agua definidas por la Superintendencia de Servicios Públicos Domiciliarios (SSPD). Además, el PRP debe incluir indicadores de gestión y estrategias para mejorar la eficiencia",,0.3114754098360656,0.0,0.3114754098360656,0.23357664233576642,,,"El Plan de Reducción de Pérdidas es el conjunto de actividades programadas por parte de las personas prestadoras del servicio público domiciliario de acueducto, para la reducción de las pérdidas técnicas y comerciales que tienen por objeto alcanzar el estándar de eficiencia, según la Resolución CRA No. 688 de 2014.",,0.7906976744186047,0.0,0.7906976744186047,0.8200000000000001,,,Reduccion Pérdidas Bucaramanga.pdf::chunk_0044 | 4.Plan de Reducción Perdidas.pdf::chunk_0002 | 4.Plan de Reducción Perdidas.pdf::chunk_0038 | 4.Plan de Reducción Perdidas.pdf::chunk_0005,Reduccion Pérdidas Bucaramanga.pdf | 4.Plan de Reducción Perdidas.pdf | 4.Plan de Reducción Perdidas.pdf | 4.Plan de Reducción Perdidas.pdf,"mala práctica de no medir los consumos, bien sea facturados y no facturados. Una estrategia fundamental para el control y reducción de las pérdidas, y que además es requisito para la aplicación del presente modelo de reducción de pérdidas; es la sectoriz ación hidráulica. La sectorización hidráulica y la adecuada medición comprende el primer paso para el desarrollo de planes para la reducción de perdidas (Morrison, Tooms, & Hall, 2007) . El título B REDUCCIÓN DE PÉRDIDAS EN SISTEMAS DE ACUEDUCTO 14 de RAS define a l a sectorización hidráulica como la divisi ón del área total de una red de distribución, en zonas de estudio que permiten determinar diferencias en los factores de pérdidas de manera más detallada, y tomar acciones operativas. Es la división de una red de distribución en dos o m"
6,QA,¿Como se define el Indice de Agua No Contabilizada?,"Es el
porcentaje del volumen de agua no facturada con relación al volumen entregado por las
plantas de tratamiento al sistema de acueducto (producción neta)",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El Índice de Agua No Contabilizada (IANC) es una medida utilizada para evaluar la eficiencia de gestión de los sistemas de abastecimiento de agua potable. Este índice representa la cantidad de agua que se pierde o no se puede facturar debido a pérdidas técnicas, pérdidas comerciales y errores de medición. En términos generales, se calcula restando el volumen de agua facturada del volumen total de agua producida en un período determinado, como un mes o un año. La fórmula matemática para calcular el IANC es: (Volumen Total",,0.19642857142857142,0.0,0.19642857142857142,0.12903225806451613,,,No se proporciona en el contexto una definición del Índice de Agua No Contabilizada.,,0.25641025641025644,0.0,0.25641025641025644,0.23809523809523808,,,Reduccion Pérdidas Bucaramanga.pdf::chunk_0032 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0013 | 4.Plan de Reducción Perdidas.pdf::chunk_0019 | JaimeAndrés_MoncayoParra_2022.pdf::chunk_0022,Reduccion Pérdidas Bucaramanga.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf | 4.Plan de Reducción Perdidas.pdf | JaimeAndrés_MoncayoParra_2022.pdf,"siglas en inglés ), entidad que, entre otras cosas, estandariza conceptos y procesos en sistemas de abastecimiento de agua, define el agua no facturada (ANF ) como el volumen que permanece no fact urado y por lo tanto no genera ningún ingreso para la empresa de agua (Lambert & Hirner, 2000) . Se puede expresar como la diferencia de volumen de ingreso al sistema de almacenamiento y distribución, con el consumo autorizado facturado o como la suma de consumo autorizado no facturado y las pérdidas de agua. Con el fin de entender todos los elementos que contribuyen al agua no facturada, la IWA propone un modelo de balance hídrico como herramienta estratégica para la generación de estadísticas, categorización, cuantificación de los tipos de pérdidas de agua y obten ción de un panorama completo d"
7,QA,¿Como se mide el volumen de entrada al sistema?,"El volumen de ingreso al sistema debe determinarse con base en las mediciones anuales
desde los macromedidores después de la planta de tratamiento. ",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El volumen de entrada al sistema puede medirse utilizando diferentes métodos, dependiendo del tipo de datos que se esté analizando. En general, se pueden utilizar medidas estadísticas como la media, la mediana o la moda para determinar el valor más común en los datos ingresados al sistema. Además, también se pueden utilizar medidas de dispersión como la varianza, el rango intercuartilico o el coeficiente de variación para determinar la variabilidad de los datos ingresados al sistema. Por último, también se pueden utilizar técnicas de minería de datos para identificar patrones y relaciones entre los datos ingresados al sistema. Estas técnicas",,0.16260162601626016,0.0,0.16260162601626016,0.16176470588235292,,,"El volumen de entrada al sistema se mide a partir de las mediciones anuales desde los macromedidores después de la planta de tratamiento. Si no se miden los volúmenes de ingreso, se debe hacer una estimación apropiada. Además, se identifican y cuantifican los volúmenes medidos a través de macromedidores en casos de importaciones de agua.",,0.4871794871794872,0.0,0.4871794871794872,0.42352941176470593,,,4.Plan de Reducción Perdidas.pdf::chunk_0017 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0038 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0111 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0082,4.Plan de Reducción Perdidas.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf | Reduccion Pérdidas Bucaramanga.pdf | Reduccion Pérdidas Bucaramanga.pdf,"aparentes (comerciales).  Estimar las perdidas reales (técnicas). 1. Volumen de Entrada al Sistema. El volumen de ingreso al sistema debe determinarse con base en las mediciones anuales desde los macromedidores después de la planta de tratamiento. Se tiene que hacer una estimación apropiada de cantidades si no se miden los volúmenes de ingreso al sistema. Igualmente, es necesa rio identificar y cuantificar los volúmenes medidos a través de macromedidores empleados en casos de importaciones de agua. 2. Consumo Autorizado Facturado. Se deben identificar todos los suscriptores registrados (residenciales, comerciales, industriales, oficiales, etc.) para determinar el consumo autorizado facturado. Se puede determinar el consumo anual con base en el registro histórico de las lecturas de los med"
8,QA,¿Que es una fuga?,"Una fuga es una salida de agua no controlada en cualquiera de los componentes del sistema de distribución de agua potable; con mayor frecuencia ocurren en uniones de tuberías, codos, roturas de conductos y válvulas",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"Una fuga es el escape o pérdida de líquido o gas desde una tubería, tanque o cualquier otro dispositivo de almacenamiento. Las fugas pueden ocurrir debido a daños en las tuberías, roturas en los tanques o fallas en los dispositivos de almacenamiento. Las fugas de líquidos o gases son una preocupación importante para los sistemas de acueducto y alcantarillado, ya que pueden causar pérdidas económicas significativas y también pueden tener consecuencias ambientales graves si el líquido o gas que se pierde contiene contaminantes. Por lo tanto, es importante detectar y reparar las fug",,0.23437499999999997,0.0,0.23437499999999997,0.15492957746478872,,,"Una fuga de agua es una salida de agua no controlada en cualquiera de los componentes del sistema de distribución de agua potable, con mayor frecuencia ocurriendo en uniones de tuberías, codos, roturas de conductos y válvulas.",,0.888888888888889,0.0,0.888888888888889,0.9487179487179489,,,JaimeAndrés_MoncayoParra_2022.pdf::chunk_0076 | JaimeAndrés_MoncayoParra_2022.pdf::chunk_0022 | 4.Plan de Reducción Perdidas.pdf::chunk_0027 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0036,JaimeAndrés_MoncayoParra_2022.pdf | JaimeAndrés_MoncayoParra_2022.pdf | 4.Plan de Reducción Perdidas.pdf | Reduccion Pérdidas Bucaramanga.pdf,"líquido en una tubería debido al movimiento (cierre/apertura) de una válvula, ocasionando una serie de ondas cinéticas que se transforman en ondas de compresión y viceversa, provocando que la masa líquida. Formas de bypasses y métodos convencionales para detectar Bypass Hay diferentes formas de colocar un bypass ilegal a la conexión propia legal y las formas de detectarlo dependen de cómo fue colocado, el trabajo de Cifuentes titulado “Manual práctico e ilustrado para la instalación de un “bypass” a una válvula existente”. Específicamente depende de: 1. Si el bypass se conecta al mismo circuito de agua interno del predio. En el primer caso, la detección del consumo ilegal es relativamente simple, porque saldría agua desde el predio aún si fue cortado previamente el servicio. Sin embargo en"
9,Resumen,Resume el concepto de agua no contabilizada,El agua no contabilizada es aquella que entra a un sistema de acueducto y no es facturada,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"La pérdida de agua es una problemática que afecta a los sistemas de abastecimiento de agua en todo el mundo. La Agencia Internacional de la Energía (IEA) estima que las pérdidas de agua se traducen en una pérdida anual de 450 mil millones de metros cúbicos, lo cual equivale a la producción de 178 nuevas plantas de tratamiento de aguas residuales por año. En términos económicos, las pérdidas de agua representan una pérdida anual de $26 mil millones para los países en desarrollo y $23 mil millones para los países en desarrollo. Las pérdidas de agua",,0.09375,,0.12389380530973451,0.09375,,,"El agua no contabilizada (ANF) es el volumen de agua que ingresa al sistema de distribución pero no es facturado, por lo tanto no genera ingresos para la empresa. Se define como la diferencia entre el volumen de agua que ingresa al sistema y el consumo autorizado facturado. Según la Organización Internacional del Agua (IWA), se compone de dos componentes: el consumo autorizado no facturado (un componente menor del balance hídrico) y las pérdidas de agua, que a su vez se dividen en pérdidas reales (técnicas, como fugas) y pérdidas aparentes (",,0.17241379310344826,,0.2385321100917431,0.17241379310344826,,,JaimeAndrés_MoncayoParra_2022.pdf::chunk_0022 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0013 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0032 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0020,JaimeAndrés_MoncayoParra_2022.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf | Reduccion Pérdidas Bucaramanga.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf,"causas. 2.10. Fuga de agua Es una salida de agua no controlada en cualquiera de los componentes del sistema de distribución de agua potable; con mayor frecuencia ocurren en uniones de tuberías, codos, roturas de conductos y válvulas. En los sistemas de conducción de agua a presión es común 17 INFORME FINAL Código FDE 089 Versión 03 Fecha 2015-01- 22 que se presenten fugas de este líquido, Fuentes, Palma, & Rodríguez (2011) explian que “las fugas de agua potable en las redes de distribución producen desperdicio de agua, reducen la eficiencia de las redes y generan una pérdida económica a los organismos operadores del sistema de distribución de este tipo de líquido” (p. 3). 2.11. Clasificación de fugas de agua Las fugas de agua se pueden clasificar según el tipo de detección: Observables: So"
10,Resumen,"Resume el documento ""Plan de reduccion de pérdidas""",El documento contiene las definiciones necesarias para construir un plan de reduccion de perdidas basado en la metodologia de la IWA y realizando los analisis correspondientes al balance hidrico,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El Plan de Reducción de Pérdidas es una estrategia integral que busca disminuir las pérdidas técnicas y comerciales en los sistemas de abastecimiento de agua. Las pérdidas técnicas se deben a fugas, roturas, desbordamiento de tanques y otras causas físicas, mientras que las pérdidas comerciales son resultado de facturación inexacta y fraudes. La implementación de este plan implica la adopción de tecnologías avanzadas para la detección y reparación de fugas, así como la optimización de la gestión de la presión en las redes. Por otra parte, se establecen",,0.13432835820895522,,0.2393162393162393,0.13432835820895522,,,"El Plan de Reducción de Pérdidas es un conjunto de actividades programadas por las personas prestadoras del servicio público domiciliario de acueducto, con el objetivo de reducir las pérdidas técnicas y comerciales y alcanzar el estándar de eficiencia establecido por la Resolución CRA No. 688 de 2014. El documento establece que el Índice de Agua No Contabilizada (IANC) es un indicador clave que mide tanto la condición física del sistema como la administración de los recursos hídricos. Para ello, se requiere la sectorización hidráulica,",,0.12698412698412698,,0.26548672566371684,0.12698412698412698,,,4.Plan de Reducción Perdidas.pdf::chunk_0002 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0185 | Reduccion Pérdidas Bucaramanga.pdf::chunk_0044 | 4.Plan de Reducción Perdidas.pdf::chunk_0101,4.Plan de Reducción Perdidas.pdf | Reduccion Pérdidas Bucaramanga.pdf | Reduccion Pérdidas Bucaramanga.pdf | 4.Plan de Reducción Perdidas.pdf,"PROGRAMAS Y/O ACCIONES PARA EL CONTROL DE LAS PERDIDAS 10. SEGUIMIENTO DEL PLAN SISTEMA INTEGRADO DE GESTION Código: GCO -PL- 001 Página: 3 de 36 Versión: 1 PLAN DE REDUCCIÓN DE PERDIDAS Vigente a partir de: 15-12-2017 INTRODUCCIÓN “El Plan de Reducción de Pérdidas es el conjunto de actividades programadas, por parte de las personas prestadoras del servicio público domiciliario de acueducto, para la reducción de las pérdidas técnicas y comerciales que tienen por objeto alcanzar el estándar de eficiencia”, según Resolución CRA No. 688 de 2014 “Por la cual se establece la metodología tarifaria para las personas prestadoras de los servicios públicos domiciliarios de acueducto y alcantarillado con más de 5.000 suscriptores.” El Índice de Agua No Contabilizada es un aspecto técnico y comercial "
11,Extraccion,¿En que articulo fue introducido en Colombia la figura de los mercados regionales?,"artículo 126 de la Ley 1450 de 2011,",Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"El artículo 231 de la Ley 142 de 1994 establece el marco regulatorio para los mercados regionales de agua potable e alcantarillado en Colombia. Este artículo establece que las empresas prestadoras deben formar parte de una red regional y que esta debe ser gestionada por una empresa regional, lo cual permite la integración de servicios y la reducción de costos a través de la optimización de recursos y la mejora de la eficiencia operativa. Además, el artículo 231 establece que las empresas regionales deben contar con mecanismos de control y regulación adecuados para garant",,0.0,0.0,0.09803921568627451,0.10714285714285714,,0.0,El artículo 126 de la Ley 1450 de 2011 fue el que introdujo en Colombia la figura de los mercados regionales.,,0.0,0.0,0.48275862068965514,0.5806451612903226,,0.0,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0019 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0023 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0025 | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf::chunk_0108,Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf | Informe-Sectorial-de-los-Servicios-Publicos-Domiciliarios-de-Acueducto-y-Alcantarillado-Vigencia-2023.pdf,"prestación asociadas a cada uno de los prestadores de servicios públicos de acueducto y alcantarillado. 3.1.1. Mercados regionales La figura de los mercados regionales fue introducida en Colombia en el artículo 126 de la Ley 1450 de 2011, haciendo referencia a la unificación de costos y asignando a la Comisión de Regulación de Agua Potable y Saneamiento Básico (CRA) la definición del concepto de mercado regional y las condiciones para su declaración. Estos mercados fueron regulados por la Resolución CRA 821 de 2017, compilada en la Resolución CRA 943 de 2021, y actualmente están reglamentados en la Resolución CRA 963 de 2021. Cabe destacar que los mercados regionales analizados a continuación están cobijados por la regulación de la Resolución CRA 821 de 2017, ya que fueron conformados ante"
12,Extraccion,¿Cuantos son los m3 que en promedio entran a un sistema del primer grupo?,500 mil m3 al año,Qwen/Qwen3-4B-Base,Qwen/Qwen3-4B-Instruct-2507,"Para el primer grupo, se presentan 100 sistemas con datos completos. Se puede observar en la Figura 24 que para este grupo no existe una relación entre la cantidad de agua entrante y la cantidad de pérdidas totales. La mayor cantidad de pérdidas totales corresponde a 567 m3/día, mientras que la menor es de 289 m3/día. Por lo tanto, la cantidad de agua que entra a un sistema del primer grupo oscila entre 289 m3/día y 567 m3/día. Para el segundo grupo, se presentan 40 sistemas con datos complet",,0.0,0.0,0.020408163265306128,0.03773584905660377,,0.0,500 mil m³/año.,,0.0,0.0,0.6666666666666665,0.7272727272727272,,0.0,Estudio_De_Referencia_De_Las_Perdidas_De.pdf::chunk_0012 | Estudio_De_Referencia_De_Las_Perdidas_De.pdf::chunk_0014 | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf::chunk_0035 | 4.Plan de Reducción Perdidas.pdf::chunk_0077,Estudio_De_Referencia_De_Las_Perdidas_De.pdf | Estudio_De_Referencia_De_Las_Perdidas_De.pdf | Analisis_de_la_reduccion_de_perdidas_comerciales_e.pdf | 4.Plan de Reducción Perdidas.pdf,"de 27.5 m. Para los sistemas del segundo grupo, la presión vario entre 19 y 43 m, con valor promedio de 26.5 m. Aquí solo el 40% reporto valores, aunque por norma están obligados a obtener lecturas hasta en 12 puntos de l sistema, 4 veces al mes. Para el último grupo, la presión varia entre 40 y 23 m, con un valor promedio de 31.4 m. Los volúmenes de agua en promedio que entran al sistema son: para el primer grupo, 500 mil m3/año; para el segundo grupo 2 millones m3/año, y para el tercer grupo 11.5 millones m3/año, exceptuando la mayor empresa de la región que inye cta a su sistema 224 millones de m3/año. Los volúmenes promedio de consumo autorizado son 350 mil m3/año; 1.4 millones m3/año y 5.5 millones m3/año, para el grupo 1, 2 y 3 respectivamente. La mayor empresa registra 134 millones "
